ts,station_pk,fuel,price
2025-10-06T22:30:41Z,2074,100,1.668
2025-10-06T22:30:41Z,2074,95,1.459
2025-10-06T22:30:41Z,2074,KOEL,1.088
2025-10-06T22:30:41Z,2074,dizel,1.489
2025-10-06T22:30:41Z,2075,95,1.459
2025-10-06T22:30:41Z,2075,KOEL,1.088
2025-10-06T22:30:41Z,2075,dizel,1.489
2025-10-06T22:30:41Z,2076,95,1.459
2025-10-06T22:30:41Z,2076,KOEL,1.088
2025-10-06T22:30:41Z,2076,dizel,1.489
2025-10-06T22:30:41Z,2077,95,1.459
2025-10-06T22:30:41Z,2077,KOEL,1.088
2025-10-06T22:30:41Z,2077,dizel,1.489
2025-10-06T22:30:41Z,2078,95,1.459
2025-10-06T22:30:41Z,2078,KOEL,1.088
2025-10-06T22:30:41Z,2078,dizel,1.489
2025-10-06T22:30:41Z,2079,95,1.459
2025-10-06T22:30:41Z,2079,KOEL,1.088
2025-10-06T22:30:41Z,2079,dizel,1.489
2025-10-06T22:30:41Z,2080,100,1.668
2025-10-06T22:30:41Z,2080,95,1.459
2025-10-06T22:30:41Z,2080,KOEL,1.088
2025-10-06T22:30:41Z,2080,dizel,1.489
2025-10-06T22:30:41Z,2082,100,1.668
2025-10-06T22:30:41Z,2082,95,1.459
2025-10-06T22:30:41Z,2082,KOEL,1.088
2025-10-06T22:30:41Z,2082,dizel,1.489
2025-10-06T22:30:41Z,2083,95,1.459
2025-10-06T22:30:41Z,2083,KOEL,1.088
2025-10-06T22:30:41Z,2083,dizel,1.489
2025-10-06T22:30:41Z,2085,95,1.459
2025-10-06T22:30:41Z,2085,dizel,1.489
2025-10-06T22:30:41Z,2086,95,1.459
2025-10-06T22:30:41Z,2086,KOEL,1.088
2025-10-06T22:30:41Z,2086,dizel,1.489
2025-10-06T22:30:41Z,2087,95,1.459
2025-10-06T22:30:41Z,2087,KOEL,1.088
2025-10-06T22:30:41Z,2087,dizel,1.489
2025-10-06T22:30:41Z,2088,100,1.789
2025-10-06T22:30:41Z,2088,95,1.459
2025-10-06T22:30:41Z,2088,dizel,1.489
2025-10-06T22:30:41Z,2088,dizel-premium,1.788
2025-10-06T22:30:41Z,2089,100,1.789
2025-10-06T22:30:41Z,2089,95,1.459
2025-10-06T22:30:41Z,2089,dizel,1.489
2025-10-06T22:30:41Z,2089,dizel-premium,1.788
2025-10-06T22:30:41Z,2090,100,1.668
2025-10-06T22:30:41Z,2090,95,1.459
2025-10-06T22:30:41Z,2090,KOEL,1.088
2025-10-06T22:30:41Z,2090,dizel,1.489
2025-10-06T22:30:41Z,2091,100,1.668
2025-10-06T22:30:41Z,2091,95,1.459
2025-10-06T22:30:41Z,2091,KOEL,1.088
2025-10-06T22:30:41Z,2091,dizel,1.489
2025-10-06T22:30:41Z,2092,100,1.668
2025-10-06T22:30:41Z,2092,95,1.459
2025-10-06T22:30:41Z,2092,KOEL,1.088
2025-10-06T22:30:41Z,2092,dizel,1.489
2025-10-06T22:30:41Z,2092,dizel-premium,1.662
2025-10-06T22:30:41Z,2093,95,1.459
2025-10-06T22:30:41Z,2093,KOEL,1.088
2025-10-06T22:30:41Z,2093,dizel,1.489
2025-10-06T22:30:41Z,2094,100,1.668
2025-10-06T22:30:41Z,2094,95,1.459
2025-10-06T22:30:41Z,2094,KOEL,1.088
2025-10-06T22:30:41Z,2094,dizel,1.489
2025-10-06T22:30:41Z,2095,100,1.789
2025-10-06T22:30:41Z,2095,95,1.459
2025-10-06T22:30:41Z,2095,dizel,1.489
2025-10-06T22:30:41Z,2095,dizel-premium,1.788
2025-10-06T22:30:41Z,2096,100,1.789
2025-10-06T22:30:41Z,2096,95,1.459
2025-10-06T22:30:41Z,2096,dizel,1.489
2025-10-06T22:30:41Z,2096,dizel-premium,1.788
2025-10-06T22:30:41Z,2098,100,1.668
2025-10-06T22:30:41Z,2098,95,1.459
2025-10-06T22:30:41Z,2098,KOEL,1.088
2025-10-06T22:30:41Z,2098,dizel,1.489
2025-10-06T22:30:41Z,2098,dizel-premium,1.662
2025-10-06T22:30:41Z,2099,100,1.668
2025-10-06T22:30:41Z,2099,95,1.459
2025-10-06T22:30:41Z,2099,KOEL,1.088
2025-10-06T22:30:41Z,2099,dizel,1.489
2025-10-06T22:30:41Z,2100,100,1.789
2025-10-06T22:30:41Z,2100,95,1.459
2025-10-06T22:30:41Z,2100,dizel,1.489
2025-10-06T22:30:41Z,2101,100,1.789
2025-10-06T22:30:41Z,2101,95,1.459
2025-10-06T22:30:41Z,2101,dizel,1.489
2025-10-06T22:30:41Z,2102,95,1.459
2025-10-06T22:30:41Z,2102,KOEL,1.088
2025-10-06T22:30:41Z,2102,dizel,1.489
2025-10-06T22:30:41Z,2103,95,1.459
2025-10-06T22:30:41Z,2103,KOEL,1.088
2025-10-06T22:30:41Z,2103,dizel,1.489
2025-10-06T22:30:41Z,2104,100,1.668
2025-10-06T22:30:41Z,2104,95,1.459
2025-10-06T22:30:41Z,2104,KOEL,1.088
2025-10-06T22:30:41Z,2104,dizel,1.489
2025-10-06T22:30:41Z,2105,95,1.459
2025-10-06T22:30:41Z,2105,KOEL,1.088
2025-10-06T22:30:41Z,2105,dizel,1.489
2025-10-06T22:30:41Z,2106,95,1.459
2025-10-06T22:30:41Z,2106,KOEL,1.088
2025-10-06T22:30:41Z,2106,dizel,1.489
2025-10-06T22:30:41Z,2107,95,1.459
2025-10-06T22:30:41Z,2107,KOEL,1.088
2025-10-06T22:30:41Z,2107,dizel,1.489
2025-10-06T22:30:41Z,2108,100,1.668
2025-10-06T22:30:41Z,2108,95,1.459
2025-10-06T22:30:41Z,2108,KOEL,1.088
2025-10-06T22:30:41Z,2108,dizel,1.489
2025-10-06T22:30:41Z,2109,95,1.459
2025-10-06T22:30:41Z,2109,KOEL,1.088
2025-10-06T22:30:41Z,2109,dizel,1.489
2025-10-06T22:30:41Z,2110,100,1.668
2025-10-06T22:30:41Z,2110,95,1.459
2025-10-06T22:30:41Z,2110,dizel,1.489
2025-10-06T22:30:41Z,2110,dizel-premium,1.662
2025-10-06T22:30:41Z,2111,100,1.668
2025-10-06T22:30:41Z,2111,95,1.459
2025-10-06T22:30:41Z,2111,KOEL,1.088
2025-10-06T22:30:41Z,2111,dizel,1.489
2025-10-06T22:30:41Z,2112,95,1.459
2025-10-06T22:30:41Z,2112,dizel,1.489
2025-10-06T22:30:41Z,2113,95,1.459
2025-10-06T22:30:41Z,2113,dizel,1.489
2025-10-06T22:30:41Z,2115,100,1.668
2025-10-06T22:30:41Z,2115,95,1.459
2025-10-06T22:30:41Z,2115,dizel,1.489
2025-10-06T22:30:41Z,2115,dizel-premium,1.662
2025-10-06T22:30:41Z,2116,95,1.459
2025-10-06T22:30:41Z,2116,KOEL,1.088
2025-10-06T22:30:41Z,2116,dizel,1.489
2025-10-06T22:30:41Z,2117,100,1.668
2025-10-06T22:30:41Z,2117,95,1.459
2025-10-06T22:30:41Z,2117,dizel,1.489
2025-10-06T22:30:41Z,2118,95,1.459
2025-10-06T22:30:41Z,2118,dizel,1.489
2025-10-06T22:30:41Z,2119,100,1.668
2025-10-06T22:30:41Z,2119,95,1.459
2025-10-06T22:30:41Z,2119,KOEL,1.088
2025-10-06T22:30:41Z,2119,dizel,1.489
2025-10-06T22:30:41Z,2120,100,1.789
2025-10-06T22:30:41Z,2120,95,1.459
2025-10-06T22:30:41Z,2120,dizel,1.489
2025-10-06T22:30:41Z,2121,100,1.668
2025-10-06T22:30:41Z,2121,95,1.459
2025-10-06T22:30:41Z,2121,KOEL,1.088
2025-10-06T22:30:41Z,2121,dizel,1.489
2025-10-06T22:30:41Z,2121,dizel-premium,1.662
2025-10-06T22:30:41Z,2122,100,1.668
2025-10-06T22:30:41Z,2122,95,1.459
2025-10-06T22:30:41Z,2122,KOEL,1.088
2025-10-06T22:30:41Z,2122,dizel,1.489
2025-10-06T22:30:41Z,2123,100,1.789
2025-10-06T22:30:41Z,2123,95,1.459
2025-10-06T22:30:41Z,2123,dizel,1.489
2025-10-06T22:30:41Z,2123,dizel-premium,1.788
2025-10-06T22:30:41Z,2124,95,1.459
2025-10-06T22:30:41Z,2124,KOEL,1.088
2025-10-06T22:30:41Z,2124,dizel,1.489
2025-10-06T22:30:41Z,2125,100,1.668
2025-10-06T22:30:41Z,2125,95,1.459
2025-10-06T22:30:41Z,2125,KOEL,1.088
2025-10-06T22:30:41Z,2125,dizel,1.489
2025-10-06T22:30:41Z,2126,100,1.668
2025-10-06T22:30:41Z,2126,95,1.459
2025-10-06T22:30:41Z,2126,dizel,1.489
2025-10-06T22:30:41Z,2127,95,1.459
2025-10-06T22:30:41Z,2127,KOEL,1.088
2025-10-06T22:30:41Z,2127,dizel,1.489
2025-10-06T22:30:41Z,2128,100,1.668
2025-10-06T22:30:41Z,2128,95,1.459
2025-10-06T22:30:41Z,2128,dizel,1.489
2025-10-06T22:30:41Z,2129,95,1.459
2025-10-06T22:30:41Z,2129,dizel,1.489
2025-10-06T22:30:41Z,2130,100,1.668
2025-10-06T22:30:41Z,2130,95,1.459
2025-10-06T22:30:41Z,2130,dizel,1.489
2025-10-06T22:30:41Z,2131,100,1.668
2025-10-06T22:30:41Z,2131,95,1.459
2025-10-06T22:30:41Z,2131,KOEL,1.088
2025-10-06T22:30:41Z,2131,dizel,1.489
2025-10-06T22:30:41Z,2132,100,1.668
2025-10-06T22:30:41Z,2132,95,1.459
2025-10-06T22:30:41Z,2132,KOEL,1.088
2025-10-06T22:30:41Z,2132,dizel,1.489
2025-10-06T22:30:41Z,2133,100,1.668
2025-10-06T22:30:41Z,2133,95,1.459
2025-10-06T22:30:41Z,2133,dizel,1.489
2025-10-06T22:30:41Z,2133,dizel-premium,1.662
2025-10-06T22:30:41Z,2134,100,1.668
2025-10-06T22:30:41Z,2134,95,1.459
2025-10-06T22:30:41Z,2134,dizel,1.489
2025-10-06T22:30:41Z,2135,100,1.668
2025-10-06T22:30:41Z,2135,95,1.459
2025-10-06T22:30:41Z,2135,dizel,1.489
2025-10-06T22:30:41Z,2136,100,1.668
2025-10-06T22:30:41Z,2136,95,1.459
2025-10-06T22:30:41Z,2136,dizel,1.489
2025-10-06T22:30:41Z,2137,100,1.668
2025-10-06T22:30:41Z,2137,95,1.459
2025-10-06T22:30:41Z,2137,KOEL,1.088
2025-10-06T22:30:41Z,2137,dizel,1.489
2025-10-06T22:30:41Z,2138,100,1.668
2025-10-06T22:30:41Z,2138,95,1.459
2025-10-06T22:30:41Z,2138,dizel,1.489
2025-10-06T22:30:41Z,2139,100,1.668
2025-10-06T22:30:41Z,2139,95,1.459
2025-10-06T22:30:41Z,2139,KOEL,1.088
2025-10-06T22:30:41Z,2139,dizel,1.489
2025-10-06T22:30:41Z,2140,95,1.459
2025-10-06T22:30:41Z,2140,KOEL,1.088
2025-10-06T22:30:41Z,2140,dizel,1.489
2025-10-06T22:30:41Z,2141,100,1.789
2025-10-06T22:30:41Z,2141,95,1.459
2025-10-06T22:30:41Z,2141,dizel,1.489
2025-10-06T22:30:41Z,2141,dizel-premium,1.788
2025-10-06T22:30:41Z,2142,95,1.459
2025-10-06T22:30:41Z,2142,KOEL,1.088
2025-10-06T22:30:41Z,2142,dizel,1.489
2025-10-06T22:30:41Z,2143,95,1.459
2025-10-06T22:30:41Z,2143,KOEL,1.088
2025-10-06T22:30:41Z,2143,dizel,1.489
2025-10-06T22:30:41Z,2144,100,1.668
2025-10-06T22:30:41Z,2144,95,1.459
2025-10-06T22:30:41Z,2144,KOEL,1.088
2025-10-06T22:30:41Z,2144,dizel,1.489
2025-10-06T22:30:41Z,2145,100,1.668
2025-10-06T22:30:41Z,2145,95,1.459
2025-10-06T22:30:41Z,2145,KOEL,1.088
2025-10-06T22:30:41Z,2145,dizel,1.489
2025-10-06T22:30:41Z,2146,100,1.668
2025-10-06T22:30:41Z,2146,95,1.459
2025-10-06T22:30:41Z,2146,KOEL,1.088
2025-10-06T22:30:41Z,2146,dizel,1.489
2025-10-06T22:30:41Z,2148,100,1.668
2025-10-06T22:30:41Z,2148,95,1.459
2025-10-06T22:30:41Z,2148,KOEL,1.088
2025-10-06T22:30:41Z,2148,dizel,1.489
2025-10-06T22:30:41Z,2149,100,1.668
2025-10-06T22:30:41Z,2149,95,1.459
2025-10-06T22:30:41Z,2149,KOEL,1.088
2025-10-06T22:30:41Z,2149,dizel,1.489
2025-10-06T22:30:41Z,2150,100,1.668
2025-10-06T22:30:41Z,2150,95,1.459
2025-10-06T22:30:41Z,2150,KOEL,1.088
2025-10-06T22:30:41Z,2150,dizel,1.489
2025-10-06T22:30:41Z,2151,95,1.459
2025-10-06T22:30:41Z,2151,KOEL,1.088
2025-10-06T22:30:41Z,2151,dizel,1.489
2025-10-06T22:30:41Z,2152,95,1.459
2025-10-06T22:30:41Z,2152,KOEL,1.088
2025-10-06T22:30:41Z,2152,dizel,1.489
2025-10-06T22:30:41Z,2153,95,1.459
2025-10-06T22:30:41Z,2153,KOEL,1.088
2025-10-06T22:30:41Z,2153,dizel,1.489
2025-10-06T22:30:41Z,2154,95,1.459
2025-10-06T22:30:41Z,2154,KOEL,1.088
2025-10-06T22:30:41Z,2154,dizel,1.489
2025-10-06T22:30:41Z,2155,95,1.459
2025-10-06T22:30:41Z,2155,KOEL,1.088
2025-10-06T22:30:41Z,2155,dizel,1.489
2025-10-06T22:30:41Z,2156,95,1.459
2025-10-06T22:30:41Z,2156,KOEL,1.088
2025-10-06T22:30:41Z,2156,dizel,1.489
2025-10-06T22:30:41Z,2157,95,1.459
2025-10-06T22:30:41Z,2157,KOEL,1.088
2025-10-06T22:30:41Z,2157,dizel,1.489
2025-10-06T22:30:41Z,2158,95,1.459
2025-10-06T22:30:41Z,2158,KOEL,1.088
2025-10-06T22:30:41Z,2158,dizel,1.489
2025-10-06T22:30:41Z,2159,95,1.459
2025-10-06T22:30:41Z,2159,KOEL,1.088
2025-10-06T22:30:41Z,2159,dizel,1.489
2025-10-06T22:30:41Z,2160,95,1.459
2025-10-06T22:30:41Z,2160,KOEL,1.088
2025-10-06T22:30:41Z,2160,dizel,1.489
2025-10-06T22:30:41Z,2161,100,1.668
2025-10-06T22:30:41Z,2161,95,1.459
2025-10-06T22:30:41Z,2161,KOEL,1.088
2025-10-06T22:30:41Z,2161,dizel,1.489
2025-10-06T22:30:41Z,2162,100,1.789
2025-10-06T22:30:41Z,2162,95,1.459
2025-10-06T22:30:41Z,2162,dizel,1.489
2025-10-06T22:30:41Z,2162,dizel-premium,1.788
2025-10-06T22:30:41Z,2163,100,1.668
2025-10-06T22:30:41Z,2163,95,1.459
2025-10-06T22:30:41Z,2163,KOEL,1.088
2025-10-06T22:30:41Z,2163,dizel,1.489
2025-10-06T22:30:41Z,2164,100,1.668
2025-10-06T22:30:41Z,2164,95,1.459
2025-10-06T22:30:41Z,2164,KOEL,1.088
2025-10-06T22:30:41Z,2164,dizel,1.489
2025-10-06T22:30:41Z,2165,95,1.459
2025-10-06T22:30:41Z,2165,KOEL,1.088
2025-10-06T22:30:41Z,2165,dizel,1.489
2025-10-06T22:30:41Z,2166,100,1.668
2025-10-06T22:30:41Z,2166,95,1.459
2025-10-06T22:30:41Z,2166,KOEL,1.088
2025-10-06T22:30:41Z,2166,dizel,1.489
2025-10-06T22:30:41Z,2167,100,1.668
2025-10-06T22:30:41Z,2167,95,1.459
2025-10-06T22:30:41Z,2167,dizel,1.489
2025-10-06T22:30:41Z,2168,100,1.668
2025-10-06T22:30:41Z,2168,95,1.459
2025-10-06T22:30:41Z,2168,KOEL,1.088
2025-10-06T22:30:41Z,2168,dizel,1.489
2025-10-06T22:30:41Z,2168,dizel-premium,1.662
2025-10-06T22:30:41Z,2169,95,1.459
2025-10-06T22:30:41Z,2169,KOEL,1.088
2025-10-06T22:30:41Z,2169,dizel,1.489
2025-10-06T22:30:41Z,2170,95,1.459
2025-10-06T22:30:41Z,2170,KOEL,1.088
2025-10-06T22:30:41Z,2170,dizel,1.489
2025-10-06T22:30:41Z,2171,100,1.668
2025-10-06T22:30:41Z,2171,95,1.459
2025-10-06T22:30:41Z,2171,KOEL,1.088
2025-10-06T22:30:41Z,2171,dizel,1.489
2025-10-06T22:30:41Z,2172,100,1.668
2025-10-06T22:30:41Z,2172,95,1.459
2025-10-06T22:30:41Z,2172,dizel,1.489
2025-10-06T22:30:41Z,2172,dizel-premium,1.662
2025-10-06T22:30:41Z,2173,95,1.459
2025-10-06T22:30:41Z,2173,KOEL,1.088
2025-10-06T22:30:41Z,2173,dizel,1.489
2025-10-06T22:30:41Z,2174,100,1.668
2025-10-06T22:30:41Z,2174,95,1.459
2025-10-06T22:30:41Z,2174,KOEL,1.088
2025-10-06T22:30:41Z,2174,dizel,1.489
2025-10-06T22:30:41Z,2175,100,1.789
2025-10-06T22:30:41Z,2175,95,1.459
2025-10-06T22:30:41Z,2175,dizel,1.489
2025-10-06T22:30:41Z,2176,100,1.789
2025-10-06T22:30:41Z,2176,95,1.459
2025-10-06T22:30:41Z,2176,dizel,1.489
2025-10-06T22:30:41Z,2177,95,1.459
2025-10-06T22:30:41Z,2177,KOEL,1.088
2025-10-06T22:30:41Z,2177,dizel,1.489
2025-10-06T22:30:41Z,2178,100,1.668
2025-10-06T22:30:41Z,2178,95,1.459
2025-10-06T22:30:41Z,2178,KOEL,1.088
2025-10-06T22:30:41Z,2178,dizel,1.489
2025-10-06T22:30:41Z,2179,95,1.459
2025-10-06T22:30:41Z,2179,KOEL,1.088
2025-10-06T22:30:41Z,2179,dizel,1.489
2025-10-06T22:30:41Z,2180,95,1.459
2025-10-06T22:30:41Z,2180,KOEL,1.088
2025-10-06T22:30:41Z,2180,dizel,1.489
2025-10-06T22:30:41Z,2181,95,1.459
2025-10-06T22:30:41Z,2181,KOEL,1.088
2025-10-06T22:30:41Z,2181,dizel,1.489
2025-10-06T22:30:41Z,2182,95,1.459
2025-10-06T22:30:41Z,2182,KOEL,1.088
2025-10-06T22:30:41Z,2182,dizel,1.489
2025-10-06T22:30:41Z,2183,95,1.459
2025-10-06T22:30:41Z,2183,dizel,1.489
2025-10-06T22:30:41Z,2184,95,1.459
2025-10-06T22:30:41Z,2184,KOEL,1.088
2025-10-06T22:30:41Z,2184,dizel,1.489
2025-10-06T22:30:41Z,2185,95,1.459
2025-10-06T22:30:41Z,2185,KOEL,1.088
2025-10-06T22:30:41Z,2185,dizel,1.489
2025-10-06T22:30:41Z,2186,100,1.668
2025-10-06T22:30:41Z,2186,95,1.459
2025-10-06T22:30:41Z,2186,KOEL,1.088
2025-10-06T22:30:41Z,2186,dizel,1.489
2025-10-06T22:30:41Z,2186,dizel-premium,1.662
2025-10-06T22:30:41Z,2187,100,1.668
2025-10-06T22:30:41Z,2187,95,1.459
2025-10-06T22:30:41Z,2187,KOEL,1.088
2025-10-06T22:30:41Z,2187,dizel,1.489
2025-10-06T22:30:41Z,2188,100,1.668
2025-10-06T22:30:41Z,2188,95,1.459
2025-10-06T22:30:41Z,2188,KOEL,1.088
2025-10-06T22:30:41Z,2188,dizel,1.489
2025-10-06T22:30:41Z,2189,95,1.459
2025-10-06T22:30:41Z,2189,KOEL,1.088
2025-10-06T22:30:41Z,2189,dizel,1.489
2025-10-06T22:30:41Z,2190,100,1.668
2025-10-06T22:30:41Z,2190,95,1.459
2025-10-06T22:30:41Z,2190,KOEL,1.088
2025-10-06T22:30:41Z,2190,dizel,1.489
2025-10-06T22:30:41Z,2191,100,1.668
2025-10-06T22:30:41Z,2191,95,1.459
2025-10-06T22:30:41Z,2191,KOEL,1.088
2025-10-06T22:30:41Z,2191,dizel,1.489
2025-10-06T22:30:41Z,2192,100,1.668
2025-10-06T22:30:41Z,2192,95,1.459
2025-10-06T22:30:41Z,2192,KOEL,1.088
2025-10-06T22:30:41Z,2192,dizel,1.489
2025-10-06T22:30:41Z,2193,95,1.459
2025-10-06T22:30:41Z,2193,KOEL,1.088
2025-10-06T22:30:41Z,2193,dizel,1.489
2025-10-06T22:30:41Z,2194,100,1.668
2025-10-06T22:30:41Z,2194,95,1.459
2025-10-06T22:30:41Z,2194,dizel,1.489
2025-10-06T22:30:41Z,2195,100,1.668
2025-10-06T22:30:41Z,2195,95,1.459
2025-10-06T22:30:41Z,2195,KOEL,1.088
2025-10-06T22:30:41Z,2195,dizel,1.489
2025-10-06T22:30:41Z,2196,100,1.668
2025-10-06T22:30:41Z,2196,95,1.459
2025-10-06T22:30:41Z,2196,KOEL,1.088
2025-10-06T22:30:41Z,2196,dizel,1.489
2025-10-06T22:30:41Z,2197,100,1.668
2025-10-06T22:30:41Z,2197,95,1.459
2025-10-06T22:30:41Z,2197,dizel,1.489
2025-10-06T22:30:41Z,2198,100,1.668
2025-10-06T22:30:41Z,2198,95,1.459
2025-10-06T22:30:41Z,2198,KOEL,1.088
2025-10-06T22:30:41Z,2198,dizel,1.489
2025-10-06T22:30:41Z,2199,100,1.668
2025-10-06T22:30:41Z,2199,95,1.459
2025-10-06T22:30:41Z,2199,dizel,1.489
2025-10-06T22:30:41Z,2199,dizel-premium,1.662
2025-10-06T22:30:41Z,2200,100,1.668
2025-10-06T22:30:41Z,2200,95,1.459
2025-10-06T22:30:41Z,2200,dizel,1.489
2025-10-06T22:30:41Z,2201,100,1.789
2025-10-06T22:30:41Z,2201,95,1.459
2025-10-06T22:30:41Z,2201,dizel,1.489
2025-10-06T22:30:41Z,2202,100,1.789
2025-10-06T22:30:41Z,2202,95,1.459
2025-10-06T22:30:41Z,2202,dizel,1.489
2025-10-06T22:30:41Z,2203,95,1.459
2025-10-06T22:30:41Z,2203,KOEL,1.088
2025-10-06T22:30:41Z,2203,dizel,1.489
2025-10-06T22:30:41Z,2204,100,1.668
2025-10-06T22:30:41Z,2204,95,1.459
2025-10-06T22:30:41Z,2204,dizel,1.489
2025-10-06T22:30:41Z,2205,100,1.668
2025-10-06T22:30:41Z,2205,95,1.459
2025-10-06T22:30:41Z,2205,KOEL,1.088
2025-10-06T22:30:41Z,2205,dizel,1.489
2025-10-06T22:30:41Z,2206,100,1.668
2025-10-06T22:30:41Z,2206,95,1.459
2025-10-06T22:30:41Z,2206,KOEL,1.088
2025-10-06T22:30:41Z,2206,dizel,1.489
2025-10-06T22:30:41Z,2207,100,1.668
2025-10-06T22:30:41Z,2207,95,1.459
2025-10-06T22:30:41Z,2207,dizel,1.489
2025-10-06T22:30:41Z,2208,95,1.459
2025-10-06T22:30:41Z,2208,KOEL,1.088
2025-10-06T22:30:41Z,2208,dizel,1.489
2025-10-06T22:30:41Z,2209,95,1.459
2025-10-06T22:30:41Z,2209,KOEL,1.088
2025-10-06T22:30:41Z,2209,dizel,1.489
2025-10-06T22:30:41Z,2211,95,1.459
2025-10-06T22:30:41Z,2211,KOEL,1.088
2025-10-06T22:30:41Z,2211,dizel,1.489
2025-10-06T22:30:41Z,2212,100,1.668
2025-10-06T22:30:41Z,2212,95,1.459
2025-10-06T22:30:41Z,2212,KOEL,1.088
2025-10-06T22:30:41Z,2212,dizel,1.489
2025-10-06T22:30:41Z,2213,95,1.459
2025-10-06T22:30:41Z,2213,KOEL,1.088
2025-10-06T22:30:41Z,2213,dizel,1.489
2025-10-06T22:30:41Z,2214,95,1.459
2025-10-06T22:30:41Z,2214,KOEL,1.088
2025-10-06T22:30:41Z,2214,dizel,1.489
2025-10-06T22:30:41Z,2215,100,1.668
2025-10-06T22:30:41Z,2215,95,1.459
2025-10-06T22:30:41Z,2215,KOEL,1.088
2025-10-06T22:30:41Z,2215,dizel,1.489
2025-10-06T22:30:41Z,2216,100,1.789
2025-10-06T22:30:41Z,2216,95,1.459
2025-10-06T22:30:41Z,2216,dizel,1.489
2025-10-06T22:30:41Z,2216,dizel-premium,1.788
2025-10-06T22:30:41Z,2217,100,1.668
2025-10-06T22:30:41Z,2217,95,1.459
2025-10-06T22:30:41Z,2217,KOEL,1.088
2025-10-06T22:30:41Z,2217,dizel,1.489
2025-10-06T22:30:41Z,2218,100,1.668
2025-10-06T22:30:41Z,2218,95,1.459
2025-10-06T22:30:41Z,2218,KOEL,1.088
2025-10-06T22:30:41Z,2218,dizel,1.489
2025-10-06T22:30:41Z,2219,95,1.459
2025-10-06T22:30:41Z,2219,KOEL,1.088
2025-10-06T22:30:41Z,2219,dizel,1.489
2025-10-06T22:30:41Z,2220,100,1.668
2025-10-06T22:30:41Z,2220,95,1.459
2025-10-06T22:30:41Z,2220,KOEL,1.088
2025-10-06T22:30:41Z,2220,dizel,1.489
2025-10-06T22:30:41Z,2220,dizel-premium,1.662
2025-10-06T22:30:41Z,2221,100,1.668
2025-10-06T22:30:41Z,2221,95,1.459
2025-10-06T22:30:41Z,2221,KOEL,1.088
2025-10-06T22:30:41Z,2221,dizel,1.489
2025-10-06T22:30:41Z,2222,100,1.668
2025-10-06T22:30:41Z,2222,95,1.459
2025-10-06T22:30:41Z,2222,KOEL,1.088
2025-10-06T22:30:41Z,2222,dizel,1.489
2025-10-06T22:30:41Z,2223,95,1.459
2025-10-06T22:30:41Z,2223,KOEL,1.088
2025-10-06T22:30:41Z,2223,dizel,1.489
2025-10-06T22:30:41Z,2224,95,1.459
2025-10-06T22:30:41Z,2224,KOEL,1.088
2025-10-06T22:30:41Z,2224,dizel,1.489
2025-10-06T22:30:41Z,2225,100,1.668
2025-10-06T22:30:41Z,2225,95,1.459
2025-10-06T22:30:41Z,2225,KOEL,1.088
2025-10-06T22:30:41Z,2225,dizel,1.489
2025-10-06T22:30:41Z,2227,100,1.668
2025-10-06T22:30:41Z,2227,95,1.459
2025-10-06T22:30:41Z,2227,dizel,1.489
2025-10-06T22:30:41Z,2228,100,1.668
2025-10-06T22:30:41Z,2228,95,1.459
2025-10-06T22:30:41Z,2228,KOEL,1.088
2025-10-06T22:30:41Z,2228,dizel,1.489
2025-10-06T22:30:41Z,2229,100,1.789
2025-10-06T22:30:41Z,2229,95,1.459
2025-10-06T22:30:41Z,2229,dizel,1.489
2025-10-06T22:30:41Z,2229,dizel-premium,1.788
2025-10-06T22:30:41Z,2230,100,1.789
2025-10-06T22:30:41Z,2230,95,1.459
2025-10-06T22:30:41Z,2230,dizel,1.489
2025-10-06T22:30:41Z,2230,dizel-premium,1.788
2025-10-06T22:30:41Z,2231,100,1.789
2025-10-06T22:30:41Z,2231,95,1.459
2025-10-06T22:30:41Z,2231,dizel,1.489
2025-10-06T22:30:41Z,2231,dizel-premium,1.788
2025-10-06T22:30:41Z,2232,100,1.789
2025-10-06T22:30:41Z,2232,95,1.459
2025-10-06T22:30:41Z,2232,dizel,1.489
2025-10-06T22:30:41Z,2232,dizel-premium,1.788
2025-10-06T22:30:41Z,2233,100,1.668
2025-10-06T22:30:41Z,2233,95,1.459
2025-10-06T22:30:41Z,2233,dizel,1.489
2025-10-06T22:30:41Z,2234,100,1.673
2025-10-06T22:30:41Z,2234,95,1.459
2025-10-06T22:30:41Z,2234,KOEL,1.088
2025-10-06T22:30:41Z,2234,dizel,1.489
2025-10-06T22:30:41Z,2234,dizel-premium,1.663
2025-10-06T22:30:41Z,2235,100,1.673
2025-10-06T22:30:41Z,2235,95,1.459
2025-10-06T22:30:41Z,2235,KOEL,1.088
2025-10-06T22:30:41Z,2235,dizel,1.489
2025-10-06T22:30:41Z,2235,dizel-premium,1.663
2025-10-06T22:30:41Z,2236,100,1.673
2025-10-06T22:30:41Z,2236,95,1.459
2025-10-06T22:30:41Z,2236,KOEL,1.088
2025-10-06T22:30:41Z,2236,dizel,1.489
2025-10-06T22:30:41Z,2236,dizel-premium,1.663
2025-10-06T22:30:41Z,2237,95,1.459
2025-10-06T22:30:41Z,2237,dizel,1.489
2025-10-06T22:30:41Z,2238,95,1.459
2025-10-06T22:30:41Z,2238,dizel,1.489
2025-10-06T22:30:41Z,2239,95,1.459
